AchievementID,Name,Category,Condition,Icon,Score,Platform,Hidden,RewardDesc,LocKey
ACH_001,成就 001,Progress,完成条件 001,Icon_Ach,10,Steam/InGame,1,奖励描述 001,LOC_ACH_001
ACH_002,成就 002,Progress,完成条件 002,Icon_Ach,15,Steam/InGame,1,奖励描述 002,LOC_ACH_002
ACH_003,成就 003,Progress,完成条件 003,Icon_Ach,20,Steam/InGame,1,奖励描述 003,LOC_ACH_003
ACH_004,成就 004,Progress,完成条件 004,Icon_Ach,25,Steam/InGame,1,奖励描述 004,LOC_ACH_004
ACH_005,成就 005,Progress,完成条件 005,Icon_Ach,30,Steam/InGame,1,奖励描述 005,LOC_ACH_005
ACH_006,成就 006,Progress,完成条件 006,Icon_Ach,10,Steam/InGame,1,奖励描述 006,LOC_ACH_006
ACH_007,成就 007,Progress,完成条件 007,Icon_Ach,15,Steam/InGame,1,奖励描述 007,LOC_ACH_007
ACH_008,成就 008,Progress,完成条件 008,Icon_Ach,20,Steam/InGame,1,奖励描述 008,LOC_ACH_008
ACH_009,成就 009,Progress,完成条件 009,Icon_Ach,25,Steam/InGame,1,奖励描述 009,LOC_ACH_009
ACH_010,成就 010,Progress,完成条件 010,Icon_Ach,30,Steam/InGame,1,奖励描述 010,LOC_ACH_010
ACH_011,成就 011,Progress,完成条件 011,Icon_Ach,10,Steam/InGame,1,奖励描述 011,LOC_ACH_011
ACH_012,成就 012,Progress,完成条件 012,Icon_Ach,15,Steam/InGame,1,奖励描述 012,LOC_ACH_012
ACH_013,成就 013,Progress,完成条件 013,Icon_Ach,20,Steam/InGame,1,奖励描述 013,LOC_ACH_013
ACH_014,成就 014,Progress,完成条件 014,Icon_Ach,25,Steam/InGame,1,奖励描述 014,LOC_ACH_014
ACH_015,成就 015,Progress,完成条件 015,Icon_Ach,30,Steam/InGame,1,奖励描述 015,LOC_ACH_015
ACH_016,成就 016,Progress,完成条件 016,Icon_Ach,10,Steam/InGame,1,奖励描述 016,LOC_ACH_016
ACH_017,成就 017,Progress,完成条件 017,Icon_Ach,15,Steam/InGame,1,奖励描述 017,LOC_ACH_017
ACH_018,成就 018,Progress,完成条件 018,Icon_Ach,20,Steam/InGame,1,奖励描述 018,LOC_ACH_018
ACH_019,成就 019,Progress,完成条件 019,Icon_Ach,25,Steam/InGame,1,奖励描述 019,LOC_ACH_019
ACH_020,成就 020,Progress,完成条件 020,Icon_Ach,30,Steam/InGame,1,奖励描述 020,LOC_ACH_020
ACH_021,成就 021,Progress,完成条件 021,Icon_Ach,10,Steam/InGame,1,奖励描述 021,LOC_ACH_021
ACH_022,成就 022,Progress,完成条件 022,Icon_Ach,15,Steam/InGame,1,奖励描述 022,LOC_ACH_022
ACH_023,成就 023,Progress,完成条件 023,Icon_Ach,20,Steam/InGame,1,奖励描述 023,LOC_ACH_023
ACH_024,成就 024,Progress,完成条件 024,Icon_Ach,25,Steam/InGame,1,奖励描述 024,LOC_ACH_024
ACH_025,成就 025,Progress,完成条件 025,Icon_Ach,30,Steam/InGame,0,奖励描述 025,LOC_ACH_025
ACH_026,成就 026,Progress,完成条件 026,Icon_Ach,10,Steam/InGame,0,奖励描述 026,LOC_ACH_026
ACH_027,成就 027,Progress,完成条件 027,Icon_Ach,15,Steam/InGame,0,奖励描述 027,LOC_ACH_027
ACH_028,成就 028,Progress,完成条件 028,Icon_Ach,20,Steam/InGame,0,奖励描述 028,LOC_ACH_028
ACH_029,成就 029,Progress,完成条件 029,Icon_Ach,25,Steam/InGame,0,奖励描述 029,LOC_ACH_029
ACH_030,成就 030,Progress,完成条件 030,Icon_Ach,30,Steam/InGame,0,奖励描述 030,LOC_ACH_030
ACH_031,成就 031,Progress,完成条件 031,Icon_Ach,10,Steam/InGame,0,奖励描述 031,LOC_ACH_031
ACH_032,成就 032,Progress,完成条件 032,Icon_Ach,15,Steam/InGame,0,奖励描述 032,LOC_ACH_032
ACH_033,成就 033,Progress,完成条件 033,Icon_Ach,20,Steam/InGame,0,奖励描述 033,LOC_ACH_033
ACH_034,成就 034,Progress,完成条件 034,Icon_Ach,25,Steam/InGame,0,奖励描述 034,LOC_ACH_034
ACH_035,成就 035,Progress,完成条件 035,Icon_Ach,30,Steam/InGame,0,奖励描述 035,LOC_ACH_035
ACH_036,成就 036,Progress,完成条件 036,Icon_Ach,10,Steam/InGame,0,奖励描述 036,LOC_ACH_036
ACH_037,成就 037,Progress,完成条件 037,Icon_Ach,15,Steam/InGame,0,奖励描述 037,LOC_ACH_037
ACH_038,成就 038,Progress,完成条件 038,Icon_Ach,20,Steam/InGame,0,奖励描述 038,LOC_ACH_038
ACH_039,成就 039,Progress,完成条件 039,Icon_Ach,25,Steam/InGame,0,奖励描述 039,LOC_ACH_039
ACH_040,成就 040,Progress,完成条件 040,Icon_Ach,30,Steam/InGame,0,奖励描述 040,LOC_ACH_040
ACH_041,成就 041,Progress,完成条件 041,Icon_Ach,10,Steam/InGame,0,奖励描述 041,LOC_ACH_041
ACH_042,成就 042,Progress,完成条件 042,Icon_Ach,15,Steam/InGame,0,奖励描述 042,LOC_ACH_042
ACH_043,成就 043,Progress,完成条件 043,Icon_Ach,20,Steam/InGame,0,奖励描述 043,LOC_ACH_043
ACH_044,成就 044,Progress,完成条件 044,Icon_Ach,25,Steam/InGame,0,奖励描述 044,LOC_ACH_044
ACH_045,成就 045,Progress,完成条件 045,Icon_Ach,30,Steam/InGame,0,奖励描述 045,LOC_ACH_045
ACH_046,成就 046,Progress,完成条件 046,Icon_Ach,10,Steam/InGame,0,奖励描述 046,LOC_ACH_046
ACH_047,成就 047,Progress,完成条件 047,Icon_Ach,15,Steam/InGame,0,奖励描述 047,LOC_ACH_047
ACH_048,成就 048,Progress,完成条件 048,Icon_Ach,20,Steam/InGame,0,奖励描述 048,LOC_ACH_048
ACH_049,成就 049,Progress,完成条件 049,Icon_Ach,25,Steam/InGame,0,奖励描述 049,LOC_ACH_049
ACH_050,成就 050,Progress,完成条件 050,Icon_Ach,30,Steam/InGame,0,奖励描述 050,LOC_ACH_050
ACH_051,成就 051,Progress,完成条件 051,Icon_Ach,10,Steam/InGame,0,奖励描述 051,LOC_ACH_051
ACH_052,成就 052,Progress,完成条件 052,Icon_Ach,15,Steam/InGame,0,奖励描述 052,LOC_ACH_052
ACH_053,成就 053,Progress,完成条件 053,Icon_Ach,20,Steam/InGame,0,奖励描述 053,LOC_ACH_053
ACH_054,成就 054,Progress,完成条件 054,Icon_Ach,25,Steam/InGame,0,奖励描述 054,LOC_ACH_054
ACH_055,成就 055,Progress,完成条件 055,Icon_Ach,30,Steam/InGame,0,奖励描述 055,LOC_ACH_055
ACH_056,成就 056,Progress,完成条件 056,Icon_Ach,10,Steam/InGame,0,奖励描述 056,LOC_ACH_056
ACH_057,成就 057,Progress,完成条件 057,Icon_Ach,15,Steam/InGame,0,奖励描述 057,LOC_ACH_057
ACH_058,成就 058,Progress,完成条件 058,Icon_Ach,20,Steam/InGame,0,奖励描述 058,LOC_ACH_058
ACH_059,成就 059,Progress,完成条件 059,Icon_Ach,25,Steam/InGame,0,奖励描述 059,LOC_ACH_059
ACH_060,成就 060,Progress,完成条件 060,Icon_Ach,30,Steam/InGame,0,奖励描述 060,LOC_ACH_060
ACH_061,成就 061,Challenge,完成条件 061,Icon_Ach,10,Steam/InGame,0,奖励描述 061,LOC_ACH_061
ACH_062,成就 062,Challenge,完成条件 062,Icon_Ach,15,Steam/InGame,0,奖励描述 062,LOC_ACH_062
ACH_063,成就 063,Challenge,完成条件 063,Icon_Ach,20,Steam/InGame,0,奖励描述 063,LOC_ACH_063
ACH_064,成就 064,Challenge,完成条件 064,Icon_Ach,25,Steam/InGame,0,奖励描述 064,LOC_ACH_064
ACH_065,成就 065,Challenge,完成条件 065,Icon_Ach,30,Steam/InGame,0,奖励描述 065,LOC_ACH_065
ACH_066,成就 066,Challenge,完成条件 066,Icon_Ach,10,Steam/InGame,0,奖励描述 066,LOC_ACH_066
ACH_067,成就 067,Challenge,完成条件 067,Icon_Ach,15,Steam/InGame,0,奖励描述 067,LOC_ACH_067
ACH_068,成就 068,Challenge,完成条件 068,Icon_Ach,20,Steam/InGame,0,奖励描述 068,LOC_ACH_068
ACH_069,成就 069,Challenge,完成条件 069,Icon_Ach,25,Steam/InGame,0,奖励描述 069,LOC_ACH_069
ACH_070,成就 070,Challenge,完成条件 070,Icon_Ach,30,Steam/InGame,0,奖励描述 070,LOC_ACH_070
ACH_071,成就 071,Challenge,完成条件 071,Icon_Ach,10,Steam/InGame,0,奖励描述 071,LOC_ACH_071
ACH_072,成就 072,Challenge,完成条件 072,Icon_Ach,15,Steam/InGame,0,奖励描述 072,LOC_ACH_072
ACH_073,成就 073,Challenge,完成条件 073,Icon_Ach,20,Steam/InGame,0,奖励描述 073,LOC_ACH_073
ACH_074,成就 074,Challenge,完成条件 074,Icon_Ach,25,Steam/InGame,0,奖励描述 074,LOC_ACH_074
ACH_075,成就 075,Challenge,完成条件 075,Icon_Ach,30,Steam/InGame,0,奖励描述 075,LOC_ACH_075
ACH_076,成就 076,Challenge,完成条件 076,Icon_Ach,10,Steam/InGame,0,奖励描述 076,LOC_ACH_076
ACH_077,成就 077,Challenge,完成条件 077,Icon_Ach,15,Steam/InGame,0,奖励描述 077,LOC_ACH_077
ACH_078,成就 078,Challenge,完成条件 078,Icon_Ach,20,Steam/InGame,0,奖励描述 078,LOC_ACH_078
ACH_079,成就 079,Challenge,完成条件 079,Icon_Ach,25,Steam/InGame,0,奖励描述 079,LOC_ACH_079
ACH_080,成就 080,Challenge,完成条件 080,Icon_Ach,30,Steam/InGame,0,奖励描述 080,LOC_ACH_080
ACH_081,成就 081,Challenge,完成条件 081,Icon_Ach,10,Steam/InGame,0,奖励描述 081,LOC_ACH_081
ACH_082,成就 082,Challenge,完成条件 082,Icon_Ach,15,Steam/InGame,0,奖励描述 082,LOC_ACH_082
ACH_083,成就 083,Challenge,完成条件 083,Icon_Ach,20,Steam/InGame,0,奖励描述 083,LOC_ACH_083
ACH_084,成就 084,Challenge,完成条件 084,Icon_Ach,25,Steam/InGame,0,奖励描述 084,LOC_ACH_084
ACH_085,成就 085,Challenge,完成条件 085,Icon_Ach,30,Steam/InGame,0,奖励描述 085,LOC_ACH_085
ACH_086,成就 086,Challenge,完成条件 086,Icon_Ach,10,Steam/InGame,0,奖励描述 086,LOC_ACH_086
ACH_087,成就 087,Challenge,完成条件 087,Icon_Ach,15,Steam/InGame,0,奖励描述 087,LOC_ACH_087
ACH_088,成就 088,Challenge,完成条件 088,Icon_Ach,20,Steam/InGame,0,奖励描述 088,LOC_ACH_088
ACH_089,成就 089,Challenge,完成条件 089,Icon_Ach,25,Steam/InGame,0,奖励描述 089,LOC_ACH_089
ACH_090,成就 090,Challenge,完成条件 090,Icon_Ach,30,Steam/InGame,0,奖励描述 090,LOC_ACH_090
ACH_091,成就 091,Challenge,完成条件 091,Icon_Ach,10,Steam/InGame,0,奖励描述 091,LOC_ACH_091
ACH_092,成就 092,Challenge,完成条件 092,Icon_Ach,15,Steam/InGame,0,奖励描述 092,LOC_ACH_092
ACH_093,成就 093,Challenge,完成条件 093,Icon_Ach,20,Steam/InGame,0,奖励描述 093,LOC_ACH_093
ACH_094,成就 094,Challenge,完成条件 094,Icon_Ach,25,Steam/InGame,0,奖励描述 094,LOC_ACH_094
ACH_095,成就 095,Challenge,完成条件 095,Icon_Ach,30,Steam/InGame,0,奖励描述 095,LOC_ACH_095
ACH_096,成就 096,Challenge,完成条件 096,Icon_Ach,10,Steam/InGame,0,奖励描述 096,LOC_ACH_096
ACH_097,成就 097,Challenge,完成条件 097,Icon_Ach,15,Steam/InGame,0,奖励描述 097,LOC_ACH_097
ACH_098,成就 098,Challenge,完成条件 098,Icon_Ach,20,Steam/InGame,0,奖励描述 098,LOC_ACH_098
ACH_099,成就 099,Challenge,完成条件 099,Icon_Ach,25,Steam/InGame,0,奖励描述 099,LOC_ACH_099
ACH_100,成就 100,Challenge,完成条件 100,Icon_Ach,30,Steam/InGame,0,奖励描述 100,LOC_ACH_100
ACH_101,成就 101,Challenge,完成条件 101,Icon_Ach,10,Steam/InGame,0,奖励描述 101,LOC_ACH_101
ACH_102,成就 102,Challenge,完成条件 102,Icon_Ach,15,Steam/InGame,0,奖励描述 102,LOC_ACH_102
ACH_103,成就 103,Challenge,完成条件 103,Icon_Ach,20,Steam/InGame,0,奖励描述 103,LOC_ACH_103
ACH_104,成就 104,Challenge,完成条件 104,Icon_Ach,25,Steam/InGame,0,奖励描述 104,LOC_ACH_104
ACH_105,成就 105,Challenge,完成条件 105,Icon_Ach,30,Steam/InGame,0,奖励描述 105,LOC_ACH_105
ACH_106,成就 106,Challenge,完成条件 106,Icon_Ach,10,Steam/InGame,0,奖励描述 106,LOC_ACH_106
ACH_107,成就 107,Challenge,完成条件 107,Icon_Ach,15,Steam/InGame,0,奖励描述 107,LOC_ACH_107
ACH_108,成就 108,Challenge,完成条件 108,Icon_Ach,20,Steam/InGame,0,奖励描述 108,LOC_ACH_108
ACH_109,成就 109,Challenge,完成条件 109,Icon_Ach,25,Steam/InGame,0,奖励描述 109,LOC_ACH_109
ACH_110,成就 110,Challenge,完成条件 110,Icon_Ach,30,Steam/InGame,0,奖励描述 110,LOC_ACH_110
ACH_111,成就 111,Challenge,完成条件 111,Icon_Ach,10,Steam/InGame,0,奖励描述 111,LOC_ACH_111
ACH_112,成就 112,Challenge,完成条件 112,Icon_Ach,15,Steam/InGame,0,奖励描述 112,LOC_ACH_112
ACH_113,成就 113,Challenge,完成条件 113,Icon_Ach,20,Steam/InGame,0,奖励描述 113,LOC_ACH_113
ACH_114,成就 114,Challenge,完成条件 114,Icon_Ach,25,Steam/InGame,0,奖励描述 114,LOC_ACH_114
ACH_115,成就 115,Challenge,完成条件 115,Icon_Ach,30,Steam/InGame,0,奖励描述 115,LOC_ACH_115
ACH_116,成就 116,Challenge,完成条件 116,Icon_Ach,10,Steam/InGame,0,奖励描述 116,LOC_ACH_116
ACH_117,成就 117,Challenge,完成条件 117,Icon_Ach,15,Steam/InGame,0,奖励描述 117,LOC_ACH_117
ACH_118,成就 118,Challenge,完成条件 118,Icon_Ach,20,Steam/InGame,0,奖励描述 118,LOC_ACH_118
ACH_119,成就 119,Challenge,完成条件 119,Icon_Ach,25,Steam/InGame,0,奖励描述 119,LOC_ACH_119
ACH_120,成就 120,Challenge,完成条件 120,Icon_Ach,30,Steam/InGame,0,奖励描述 120,LOC_ACH_120
